DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/15/2018,12:30,,,40.615692,-73.99366,"(40.615692, -73.99366)",18 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021691,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:30,,,40.587967,-73.954346,"(40.587967, -73.954346)",AVENUE Z                        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021391,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,14:07,STATEN ISLAND,10306,40.577946,-74.102325,"(40.577946, -74.102325)",HYLAN BOULEVARD                 ,MIDLAND AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4021765,Sedan,Sedan,,,
11/15/2018,12:40,MANHATTAN,10128,40.77786,-73.945724,"(40.77786, -73.945724)",YORK AVENUE                     ,EAST 89 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021830,Box Truck,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:45,MANHATTAN,10016,40.745068,-73.97258,"(40.745068, -73.97258)",EAST 36 STREET                  ,1 AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4021470,Bike,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,12:57,,,40.585686,-73.81724,"(40.585686, -73.81724)",BEACH 95 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021424,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,13:00,BROOKLYN,11214,40.608593,-74.00486,"(40.608593, -74.00486)",17 AVENUE                       ,86 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021703,Bus,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,13:00,QUEENS,11373,40.745647,-73.88166,"(40.745647, -73.88166)",,,40-49     ITHACA STREET                 ,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Passing Too Closely,,,,4021396,Station Wagon/Sport Utility Vehicle,Box Truck,,,
11/15/2018,13:00,,,40.720566,-73.8459,"(40.720566, -73.8459)",70 ROAD                         ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Failure to Yield Right-of-Way,,,,4021435,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:00,,,40.607662,-73.98348,"(40.607662, -73.98348)",AVENUE P                        ,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,Unspecified,,,4021694,Sedan,Sedan,Sedan,,
11/15/2018,13:00,,,40.59565,-73.908165,"(40.59565, -73.908165)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4021579,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
11/15/2018,13:00,,,40.73771,-73.974266,"(40.73771, -73.974266)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021749,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:05,MANHATTAN,10001,40.75186,-73.99372,"(40.75186, -73.99372)",,,5         PENNSYLVANIA PLAZA            ,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,,,,4021506,Sedan,Taxi,,,
11/15/2018,13:06,,,,,,WILLIS AVE BRIDGE               ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4021361,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,13:20,BROOKLYN,11232,40.648346,-73.9991,"(40.648346, -73.9991)",,,706       39 STREET                     ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021466,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,13:20,,,40.679863,-73.83884,"(40.679863, -73.83884)",101 STREET                      ,ROCKAWAY BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4021392,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:25,,,40.72048,-73.780106,"(40.72048, -73.780106)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4021380,Sedan,,,,
11/15/2018,13:25,QUEENS,11413,40.681843,-73.7501,"(40.681843, -73.7501)",218 STREET                      ,132 ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4021558,Sedan,Sedan,,,
11/15/2018,13:30,BRONX,10457,40.84869,-73.90329,"(40.84869, -73.90329)",EAST TREMONT AVENUE             ,ANTHONY AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4021744,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,13:30,BROOKLYN,11203,40.645245,-73.932625,"(40.645245, -73.932625)",SCHENECTADY AVENUE              ,CORTELYOU ROAD,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021367,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:30,BROOKLYN,11214,40.601948,-73.99382,"(40.601948, -73.99382)",BAY PARKWAY                     ,86 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021695,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:30,,,40.787174,-73.81349,"(40.787174, -73.81349)",CROSS ISLAND PARKWAY            ,,,1,0,0,0,0,0,1,0,Reaction to Uninvolved Vehicle,Pavement Slippery,,,,4021602,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,13:40,,,40.735413,-73.91835,"(40.735413, -73.91835)",LAUREL HILL BOULEVARD           ,48 STREET,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4021447,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,13:42,,,40.686077,-74.00038,"(40.686077, -74.00038)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021731,Sedan,Sedan,,,
11/15/2018,14:00,BROOKLYN,11226,40.637295,-73.95963,"(40.637295, -73.95963)",,,1900      NEWKIRK AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021505,Sedan,Sedan,,,
11/15/2018,14:00,,,40.714455,-73.96321,"(40.714455, -73.96321)",BERRY STREET                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4021786,Sedan,Sedan,,,
11/15/2018,14:05,QUEENS,11357,40.780712,-73.82509,"(40.780712, -73.82509)",WHITESTONE EXPRESSWAY           ,21 AVENUE,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,4021474,Sedan,Sedan,,,
